#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.67e+01    1.89e+01      4.81e-02    2.29e-01      5.29e-01    5.99e-01    1.0e-03
    100      4.44e+00    5.74e+00      1.14e-01    9.62e-02      1.40e-01    1.81e-01    1.0e-03
    200      6.92e+00    1.05e+01      1.15e-01    1.05e-01      2.19e-01    3.31e-01    1.0e-03
    300      2.28e+00    2.37e+00      1.19e-01    1.20e-01      7.20e-02    7.48e-02    1.0e-03
    400      2.16e+00    1.93e+00      3.96e-02    3.43e-02      6.82e-02    6.11e-02    1.0e-03
    500      2.31e+00    2.43e+00      9.75e-02    9.59e-02      7.29e-02    7.67e-02    1.0e-03
    600      1.89e+00    2.01e+00      3.74e-02    3.76e-02      5.97e-02    6.34e-02    1.0e-03
    700      5.34e+00    5.11e+00      1.40e+00    1.40e+00      1.56e-01    1.48e-01    1.0e-03
    800      2.51e+00    1.82e+00      3.57e-02    4.08e-02      7.92e-02    5.74e-02    1.0e-03
    900      1.89e+00    1.71e+00      7.03e-03    7.15e-03      5.98e-02    5.40e-02    1.0e-03
   1000      2.51e+00    7.73e+00      4.23e-01    4.34e-01      7.68e-02    2.44e-01    1.0e-03
   1100      1.84e+00    1.82e+00      7.69e-02    7.61e-02      5.80e-02    5.75e-02    1.0e-03
   1200      1.52e+00    1.70e+00      3.57e-02    3.59e-02      4.80e-02    5.39e-02    1.0e-03
   1300      3.34e+00    3.23e+00      4.54e-01    4.47e-01      1.04e-01    1.00e-01    1.0e-03
   1400      1.71e+00    1.78e+00      2.62e-02    3.33e-02      5.40e-02    5.62e-02    1.0e-03
   1500      3.17e+00    3.54e+00      2.37e-02    6.66e-02      1.00e-01    1.12e-01    1.0e-03
   1600      2.21e+00    2.22e+00      4.23e-02    3.13e-02      6.98e-02    7.03e-02    1.0e-03
   1700      1.68e+00    1.62e+00      8.58e-02    8.23e-02      5.29e-02    5.12e-02    1.0e-03
   1800      1.45e+00    1.74e+00      6.72e-03    6.39e-03      4.59e-02    5.51e-02    1.0e-03
   1900      1.61e+00    1.78e+00      3.03e-02    3.84e-02      5.10e-02    5.62e-02    1.0e-03
   2000      1.61e+00    1.42e+00      1.18e-02    1.17e-02      5.09e-02    4.50e-02    1.0e-03
   2100      2.30e+00    2.66e+00      2.75e-02    6.40e-02      7.28e-02    8.39e-02    1.0e-03
   2200      4.34e+00    4.18e+00      1.04e-01    1.07e-01      1.37e-01    1.32e-01    1.0e-03
   2300      7.33e+00    6.39e+00      5.24e-01    5.00e-01      2.31e-01    2.01e-01    1.0e-03
   2400      7.74e+00    8.24e+00      8.14e-02    6.76e-02      2.45e-01    2.61e-01    1.0e-03
   2500      3.84e+00    3.46e+00      1.89e-01    1.88e-01      1.21e-01    1.09e-01    1.0e-03
